SP,51
MG,17
RJ,15
RS,14
PR,13
BA,11
SC,9
PE,8
CE,6
MA,6
ES,5
PA,5
GO,5
MT,3
MS,3
TO,2
RN,2
PB,2
SE,1
RR,1
PI,1
RO,1
AL,1
AP,1
AM,1
